年月日,未調整收盤價(元),週報酬率 %,外資買賣超(張),投信買賣超(張),自營買賣超(張),融資增加(張),融資減少(張),融券增加(張),融券減少(張),外資連續累計買賣超(張),投信連續累計買賣超(張),自營連續累計買賣超(張),法人連續累計買賣超(張),外資成交比重,投信成交比重,自營成交比重,法人成交比重,信用交易比重
2015/11/20,141,0.036765,6526,29,-419,0,393,173,0,13488,29,-663,12768,67.94,0.93,1.17,70.03,0.25
2015/11/27,139,-0.014184,-7575,-380,143,912,0,0,266,-7575,-753,290,-7812,77.45,0.99,1.74,80.18,0.2
2015/12/4,140.5,0.010792,-10257,-141,748,599,0,0,490,-10257,-988,1022,-9650,74.81,0.37,1.83,77.01,0.18
2015/12/11,139.5,-0.007117,-7060,474,-327,259,0,10,0,-31600,730,-327,-29344,71.24,0.93,1.5,73.68,0.17
2015/12/18,142,0.017921,5524,76,341,300,0,0,399,60810,76,341,59387,81.18,0.66,1.24,83.07,0.1
2015/12/25,143,0.007043,2844,-23,-48,0,86,37,0,12673,-412,-758,11503,64.01,0.8,2.48,67.29,2.23
2015/12/31,143,0.000001,1405,946,-35,0,526,80,0,1914,1018,-35,2981,67.15,3.5,2.08,72.73,0.26
2016/1/8,134,-0.062938,-980,-119,-198,264,0,0,142,-61531,-1840,-198,-58322,77.01,0.38,4.09,81.47,0.27
2016/1/15,137,0.022388,24789,1797,-1612,0,2264,1513,0,24789,1797,-6328,24974,62.27,1.59,3.74,67.6,0.47
2016/1/22,138.5,0.010949,10551,307,-1709,0,1577,487,0,11032,4402,-4175,9149,68.51,0.45,4.3,73.26,0.62
2016/1/30,142,0.02527,4234,33,1438,369,0,0,592,39053,33,2462,39732,23.57,1.67,7.04,32.28,0.13
2016/2/3,146,0.028169,33449,13,-1411,0,1076,489,0,102132,111,-1411,101895,66.32,0.03,1.54,67.9,0.34
2016/2/19,151,0.034246,10748,-21,841,0,87,0,78,180372,-21,841,183233,73.77,0.22,2.08,76.07,0.38
2016/2/26,149,-0.013245,5514,-398,2541,937,0,0,297,218128,-398,2541,222611,69.79,0.87,2.96,73.63,0.14
2016/3/4,152.5,0.02349,-264,-401,1405,432,0,0,330,-264,-465,1405,261972,76.5,0.53,2.99,80.03,0.1
2016/3/11,155,0.016393,15092,169,-425,279,0,0,14,47924,182,-2377,308292,67.3,0.49,2.06,69.85,0.09
2016/3/18,159.5,0.029034,26231,-114,-539,0,453,0,75,144356,-1441,-2767,401341,72.06,0.54,0.65,73.24,0.09
2016/3/25,158,-0.009405,1451,-371,449,102,0,0,406,179209,-3128,1435,436118,36.43,1.69,4.47,42.59,0.43
2016/4/1,158.5,0.003164,-5721,23,1495,1332,0,0,0,-5721,865,2302,-4203,65.82,0.6,3.61,70.03,0.03
2016/4/8,157.5,-0.00631,-474,-313,-2464,0,1549,1353,0,-25742,-676,-4753,-25921,58.49,0.47,3.57,62.53,0.4
2016/4/15,159.5,0.012698,-3566,-1062,126,0,462,0,36,-3566,-1670,2002,-4502,62.69,1.09,3.02,66.8,1.3
